pos,flw,flg,bl,pic,lin,cl,cz,ni,erl,erc,lt,hc,pr,fo,cs,pi,class
512,1500,1800,61,1,0,872,0,0.6669999957,1.3400000334,0.0299999993,0.2220000029,0.1669999957,0,0,0.2892389894,21.3612957,f
6,119,113,0,1,0,54,0.3333333433,0,5.5999999046,0.5600000024,0,1,0.3330000043,0,0.0729660019,2718.8049316,f
109,875,4500,0,1,0,6,0.555555582,0.1110000014,7.3699998856,0.349999994,0,0.1110000014,0,0,0.3267970085,673.02923584,f
0,161,1200,44,1,1,0,0,0,0,0,0,0,0,0,1,0,f
102,335,271,100,1,0,147,0.3333333433,0.6110000014,2.7400000095,0.400000006,0.3330000043,0.1110000014,0,0,0.1100789979,351.52276611,f
18,363,1100,54,1,0,205,0.277777791,0.1110000014,5.5199999809,0.8600000143,0,0.4440000057,0.6110000014,0.2220000029,0.0831290036,869.37506104,f
20,133,489,0,1,0,373,0,0.3330000043,11.069999695,0.8799999952,0,0.2220000029,0.1669999957,0,0.098021999,38.629737854,f
1000,2300,5500,85,1,1,443,0,0.0560000017,0.1899999976,0.0099999998,0,0.1669999957,0.5,0.1110000014,0.1386740059,2.4517900944,f
25,190,715,35,1,0,3,0.8888888955,0,9.4200000763,0.349999994,0,0,0,0,0.7843139768,73.92956543,f
231,758,424,17,1,0,874,0.055555556,0.1669999957,1.2300000191,0.1199999973,0.1110000014,0.8889999986,0.6110000014,0.0560000017,0.1669840068,59.309505463,f
514,1300,2000,109,1,0,634,0,0.1110000014,0.3000000119,0.0199999996,0,0.7779999971,0.8330000043,0,0.1776500046,29.336835861,f
346,307,210,157,1,0,171,0.6111111045,0.0560000017,0.9399999976,0,0,0,0,0,0.4567979872,8.5202617645,f
1000,270,1100,33,1,0,765,0,0.3330000043,0.9300000072,0.0399999991,0.0560000017,0.3330000043,0.0560000017,0,0.1942590028,13.891388893,f
254,647,1600,0,1,0,369,0.1666666716,0.6110000014,1.9700000286,0.0799999982,0,1.1109999418,0.8330000043,0.1110000014,0.0569179989,11.801605225,f
181,1100,773,12,1,0,614,0,0.1669999957,0.1199999973,0.0099999998,0,0.4440000057,0.2779999971,0.1669999957,0.1567309946,8.1952466965,f
124,165,425,0,1,0,774,0,0.0560000017,1.5499999523,0,0,0.3330000043,0.5,0.1669999957,0.346450001,2.8844909668,f
30,619,1500,115,1,0,921,0.1666666716,0.1669999957,0.7599999905,0.0700000003,0.1110000014,0,0.5,0.1669999957,0.1851290017,12.237145424,f
62,12700,1200,13,1,0,189,0.1666666716,0.0560000017,2.7100000381,0.0599999987,0,0.5559999943,0,0,0.063428998,144.41346741,f
276,759,1900,29,1,0,298,0.6666666865,0.0560000017,0.4799999893,0.0599999987,0,0.2779999971,0.5559999943,0.1669999957,0.4486150146,9.5004777908,f
14,202,345,42,1,0,74,0.3571428657,0.3569999933,9.2600002289,1.3099999428,0.0710000023,0.8569999933,1.3569999933,0,0.1358020008,1395.1134033,f
26,676,3100,59,1,0,314,0.1666666716,0.3889999986,9.9899997711,0.0900000036,0.4440000057,0.7779999971,1.4440000057,0.1110000014,0.0543389991,913.50323486,f
56,1500,1600,33,1,0,5,0.722222209,0.3330000043,3.3900001049,0.0599999987,0,0,0,0,0.5098040104,201.44526672,f
26,116,147,32,1,0,0,0,0,0,0,0,0,0,0,1,0,f
257,1500,3400,159,1,0,0,0,0,0,0,0,0,0,0,1,0,f
24,194,375,0,1,0,13,0.3888888955,0.2220000029,2.8099999428,0.1700000018,0.0560000017,0.0560000017,0,0,0.1458590031,1263.7937012,f
16,660,2900,0,1,0,22,0.1875,0.125,3.9600000381,0.8899999857,0.125,0,0.063000001,0,0.0413450003,1115.5100098,f
1300,508,938,0,1,0,816,0,0.2220000029,0.5600000024,0.0299999993,0,0.7220000029,0.8889999986,0.1669999957,0.2709580064,22.563642502,f
341,1100,3900,0,1,0,766,0,0,0.1199999973,0,0,0.0560000017,0.3889999986,0.1110000014,0.1972299963,9.4608020782,f
115,891,3000,0,1,0,974,0.055555556,0.0560000017,0.5199999809,0.0799999982,0,0.7220000029,0.8330000043,0.1669999957,0.2698360085,20.498966217,f
66,204,402,0,1,0,300,0,0.7779999971,7.8400001526,0.25,0,0.2779999971,0.0560000017,0.0560000017,0.0616910011,271.49227905,f
143,2300,514,51,1,0,174,0,0.5,4.1300001144,0.25,0.9440000057,0.2779999971,0,0,0.0501409993,617.48461914,f
62,1800,3100,0,1,1,28,0.555555582,0.0560000017,15.06000042,0.6000000238,0.2220000029,0.3330000043,0.0560000017,0,0.2954109907,194.15231323,f
769,1400,1200,49,1,1,568,0.055555556,0.1669999957,0.4900000095,0.0199999996,0,0.4440000057,0.7220000029,0.2220000029,0.0690319985,41.48608017,f
53,62,183,17,1,0,1008,0,0,0.8100000024,0.0900000036,0,0.5559999943,0.7220000029,0.4440000057,0.2789190114,46.424213409,f
31,123,339,8,1,0,7,0.722222209,0.1669999957,4.25,0.6800000072,0,0,0,0,0.5154060125,42.019104004,f
106,273,358,24,1,0,629,0.055555556,0.1110000014,1.5099999905,0.1199999973,0,0.5559999943,0.7220000029,0.4440000057,0.1095020026,26.524953842,f
29,1100,855,117,1,0,166,0.277777791,0.3330000043,2.6199998856,0.0500000007,0.5,0.0560000017,0.2779999971,0.0560000017,0.0820299983,141.20979309,f
76,1500,6200,62,1,0,1014,0,0,0.1599999964,0.0099999998,0,0.0560000017,0.7779999971,0.1110000014,0.2582750022,10.644335747,f
17,97,206,51,1,0,165,0.6470588446,0.2939999998,5.1500000954,0.7900000215,0,0.2349999994,0.1180000007,0.1180000007,0.4104500115,85.089393616,f
366,475,748,7,1,0,184,0.1666666716,0.5,2.9200000763,0.2599999905,0,0.2779999971,0.3330000043,0.2220000029,0.0344659984,103.61810303,f
7,259,1400,0,1,0,59,0.4285714328,0.1430000067,7.2300000191,1.4299999475,0,0.8569999933,0.2860000134,0.4289999902,0.2278199941,689.71685791,f
122,376,1500,32,1,0,143,0.6111111045,0.3330000043,6.1599998474,0.2700000107,0,0.7220000029,0.3889999986,0,0.3645150065,830.2522583,f
66,289,636,88,1,1,513,0.1666666716,0.2779999971,1.1299999952,0.1199999973,0,0.3330000043,0.7779999971,0.0560000017,0.1129340008,7.7377781868,f
81,811,1700,11,1,0,593,0,0.1669999957,1.0900000334,0.0799999982,0.0560000017,0.5,0.2779999971,0.1110000014,0.0888430029,326.94381714,f
45,17500,675,118,1,0,266,0.055555556,0,10.710000038,0.0599999987,0,1.8329999447,0,0.2779999971,0.872337997,1501.9085693,f
75,6000,1200,31,1,0,359,0.1666666716,0.0560000017,2.2400000095,0.0099999998,0.0560000017,0.2220000029,0.6669999957,0.1110000014,0.0547839999,148.80834961,f
16,497,1900,0,1,0,645,0,0.063000001,0.7900000215,0.200000003,0,0.5630000234,0.25,0.063000001,0.1377110034,37.620571136,f
63,168,209,24,1,0,190,0.1666666716,0.1110000014,5.1300001144,0.6000000238,0,0.1669999957,0.2220000029,0.3330000043,0.0286640003,27.654521942,f
41,179,898,58,1,0,185,0.555555582,0,2.9500000477,0.3100000024,0.2779999971,0.5,0.3330000043,0.2220000029,0.3001289964,15.097901344,f
131,328,862,88,1,0,209,0.1111111119,0,2.9000000954,0.2199999988,0.0560000017,0.0560000017,0.6669999957,0.2220000029,0.1235259995,1236.9678955,f
3400,1400,7100,97,1,1,59,0.1111111119,0.2779999971,0.3899999857,0.0299999993,0.3330000043,0.0560000017,0,0,0.0108500002,69.23589325,f
49,203,294,74,1,0,323,0.1666666716,0.2779999971,2.4400000572,0.0799999982,0,0.2220000029,0.0560000017,0,0.0821510032,64.245079041,f
175,374,1100,155,1,0,413,0,0.2220000029,2.3800001144,0.3899999857,0,0.7779999971,0.4440000057,0.1669999957,0.0446680002,15.674984932,f
140,512,1100,0,1,0,588,0.277777791,0.2220000029,1.1699999571,0.2899999917,0,0.0560000017,0.3889999986,0.2220000029,0.118542999,77.531974792,f
176,854,346,219,1,0,170,0.1666666716,0.1110000014,3.1600000858,0.3799999952,0.1110000014,0.0560000017,0.5559999943,0.1110000014,0.0359340012,592.89190674,f
13,358,951,0,1,0,326,0.3846153915,0,4.9000000954,0.5199999809,0,0.0769999996,0.1539999992,0,0.1706809998,310.60958862,f
362,695,667,127,1,1,604,0,0.1580000073,1.4900000095,0.150000006,0,0.0529999994,0.4210000038,0.1049999967,0.1293269992,16.380832672,f
60,444,950,54,1,0,2,0.944444418,0,2.5199999809,0.0599999987,0.1669999957,0,0,0,0.8888890147,36.566883087,f
93,194,390,0,1,0,901,0,0.0560000017,0.8600000143,0,0,0.7220000029,0.8889999986,0.1669999957,0.3306150138,26.084011078,f
3,482,568,12,1,0,0,0,0,0,0,0,0,0,0,1,0,f
14,1300,1300,13,1,0,95,0,0,4.2899999619,0.1899999976,0.2140000015,1.5,0,0.8569999933,0.0129589997,315.96340942,f
192,1800,1200,92,1,0,476,0.2222222239,0.2220000029,0.9100000262,0.4600000083,0,0.0560000017,0.2220000029,0.1110000014,0.0975299999,135.41595459,f
977,670,3100,11,1,0,1070,0,0,0.400000006,0,0,0.1669999957,0.6110000014,0.1110000014,0.2819269896,6.0959100723,f
68,152,664,19,1,0,52,0.8333333135,0.0560000017,5.6999998093,0.1099999994,0,0.2779999971,0.4440000057,0.1110000014,0.6884639859,18.853147507,f
287,369,718,0,1,0,846,0,0.1110000014,1.6599999666,0.0500000007,0,1.0559999943,1.0559999943,0.1110000014,0.2061689943,30.167577744,f
52,169,778,74,1,0,543,0.3888888955,0.2220000029,7.1700000763,0.2300000042,0,0.3889999986,1,0.2779999971,0.2137780041,8.0895519257,f
701,2100,1700,0,1,0,831,0,0,0.2099999934,0,0,0.1110000014,0.7220000029,0.0560000017,0.1728519946,8.8381023407,f
10,2700,302,77,1,0,577,0,0,1.0700000525,0.0500000007,0,0.5,0.3000000119,0.400000006,0.1015300006,1967.8535156,f
672,2900,2600,123,1,0,284,0.055555556,0.2220000029,0.200000003,0.0299999993,0,0.7220000029,1.3890000582,0.1110000014,0.0463059992,48.131526947,f
181,901,946,84,1,0,315,0.555555582,0.0560000017,0.9900000095,0.2099999934,0,0.0560000017,0.1110000014,0,0.3149650097,27.539829254,f
41,279,578,6,1,0,845,0,0,1.3099999428,0.1400000006,0,0.1669999957,0.7220000029,0.0560000017,0.2436999977,131.89746094,f
35,325,1900,0,1,0,750,0,0,3.0899999142,0.2899999917,0,0.1110000014,0.3330000043,0.1110000014,0.2028889954,197.89492798,f
427,1100,1600,0,1,0,958,0,0,0.4099999964,0.0199999996,0,0.0560000017,0.4440000057,0.1110000014,0.2015060037,12.446496964,f
25,88,173,0,1,0,413,0.2222222239,0.0560000017,10.729999542,0.3199999928,0,0.1669999957,0.6110000014,0.1110000014,0.125729993,31.550231934,f
254,996,1800,0,1,0,1296,0,0.0560000017,0.2599999905,0,0,0.5,1,0.2779999971,0.6537989974,1.3650619984,f
13,300,645,0,1,0,329,0.0769230798,0.2310000062,10.279999733,7.6199998856,0,0.6150000095,0.2310000062,0.0769999996,0.0988570005,263.24313354,f
17,483,1200,0,1,0,177,0,0.5879999995,2.6300001144,0.3700000048,0,0,0,0,0.042018,468.8835144,f
0,52,168,0,1,0,0,0,0,0,0,0,0,0,0,1,0,f
35,137,741,9,1,0,740,0,0.1110000014,2.8399999142,0.200000003,0,0.2220000029,0.5559999943,0.1110000014,0.2926230133,30.729305267,f
283,851,1300,150,1,0,259,0.2222222239,0.3330000043,0.5400000215,0.0500000007,0,0.1110000014,0.5559999943,0.1110000014,0.0706069991,24.808996201,f
35,84,203,24,1,0,810,0,0.2779999971,2.3800001144,0.200000003,0,0.7779999971,0.8330000043,0.0560000017,0.2545570135,218.48788452,f
171,952,1900,94,1,0,503,0.2222222239,0.2220000029,5.3699998856,0.4099999964,0,0.0560000017,0,0,0.1405909956,39.458904266,f
1,23,259,0,1,0,0,1,0,0,0,0,0,0,0,0,0,f
40,425,1600,82,1,0,494,0.055555556,0.5,5.5199999809,1.3899999857,0,0.4440000057,0.1110000014,0,0.0953439996,719.88323975,f
2600,451,735,0,1,0,352,0,0,0.0700000003,0.0099999998,0,0.5559999943,0.2779999971,0.1110000014,0.3625519872,1.1444749832,f
35,437,1300,0,1,0,230,0,0.5,1.6299999952,0.1099999994,0.1110000014,0.3330000043,0.6110000014,0,0.0472059995,331.70193481,f
3900,1200,1200,0,1,0,0,0,0,0,0,0,0,0,0,1,0,f
1800,1000,2300,0,1,0,545,0,0.5,0.2300000042,0.0099999998,0,0.2779999971,0.6669999957,0.1110000014,0.1860159934,8.2015590668,f
20,631,777,104,1,0,184,0.277777791,0.2779999971,16.680000305,0.7400000095,0.2220000029,0.1669999957,0,0,0.0991400033,355.6802063,f
63,745,1800,142,1,0,0,0,0,0,0,0,0,0,0,1,0,f
89,428,1700,64,1,1,233,0.3333333433,0.0560000017,2.8399999142,0.0799999982,0.0560000017,0.2220000029,0,0,0.192219004,118.72686768,f
116,1800,4200,76,1,0,688,0,0.1669999957,0.1099999994,0.0099999998,0,0,0.3330000043,0.1110000014,0.1394190043,5.3940739632,f
27,606,1600,0,1,0,409,0.4444444478,0.5,0.3100000024,0.0399999991,0,0.4440000057,0.1669999957,0.1110000014,0.2215719968,61.81186676,f
47,1700,2300,79,1,0,730,0.1111111119,0.2220000029,0.400000006,0.0399999991,0,0.1669999957,0.2779999971,0.1669999957,0.1129269972,47.000278473,f
86,652,2000,50,1,0,452,0.3888888955,0.5,0.5099999905,0.0299999993,0,0.4440000057,0.7779999971,0.2220000029,0.2198790014,25.158981323,f
114,249,1600,62,1,0,0,0,0,0,0,0,0,0,0,1,0,f
4,24,111,0,1,0,491,0,0,4.1700000763,0,0,2,1.75,0.5,0.1620520055,131.90034485,f
18,1300,2500,151,1,0,2,0.8333333135,0,1.2000000477,0.0700000003,0,0,0,0,0.6862750053,99.217727661,f
1200,582,1700,14,1,0,667,0,0.0560000017,0.3000000119,0.0399999991,0,0.3889999986,0.2779999971,0,0.1511089951,14.434059143,f
95,888,1200,114,1,0,496,0,0.3330000043,1.9099999666,0.1599999964,0,0.6669999957,1.3890000582,0.1110000014,0.087168999,24.372730255,f
60,1100,1800,0,1,0,173,0,0,0.3100000024,0.0199999996,0,0.1669999957,0,0,0.6200839877,22.842113495,f
183,419,591,206,1,0,591,0,0.2220000029,2,0.0399999991,0.3889999986,1.1670000553,0,0,0.0677779987,110.02433777,f
59,346,995,35,1,0,38,0.3333333433,0.5,5.8400001526,0.2199999988,0.2220000029,0.1669999957,0,0,0.0983809978,221.29312134,f
16,243,930,0,1,0,80,0.125,0.6880000234,9.5699996948,0.9800000191,0,0.8130000234,0.063000001,0,0.0704139993,323.99713135,f
46,94,111,95,1,0,60,0.555555582,0.7220000029,9.5699996948,1.7100000381,0,0.5559999943,0.1110000014,0,0.3000150025,502.75241089,f
148,121,237,0,1,0,799,0,0.2220000029,1.1499999762,0.1800000072,0,0,0.5,0.1110000014,0.2004300058,11.20513916,f
80,63,168,25,1,0,934,0,0,1.6799999475,0.4399999976,0,0,0.5,0.1110000014,0.2915230095,18.84365654,f
74,82,146,16,1,0,819,0,0.1110000014,3.5899999142,0.6100000143,0,0,0.5,0.1110000014,0.2251790017,18.744459152,f
55,1300,477,161,1,0,607,0.055555556,0.0560000017,0.9599999785,0.0799999982,0,0.4440000057,0.6669999957,0.1669999957,0.1508550048,26.651451111,f
3,61,138,29,1,0,0,1,0,5.4600000381,0,0,0,0,0,1,686.58850098,f
1700,1200,4800,0,1,0,653,0.055555556,0.1110000014,0.1899999976,0,0,0.0560000017,0.5559999943,0.3330000043,0.1025789976,2.9021599293,f
120,225,674,77,1,0,455,0,0,2.6199998856,0.0500000007,0,0.5559999943,0.8330000043,0.1669999957,0.3251680136,28.389907837,f
25,206,618,96,1,0,88,0.055555556,0.2220000029,1.3500000238,0.0500000007,0,0.5,0.0560000017,0,0.0200909991,538.76062012,f
24,234,140,39,1,0,9,0.5,0.5,3.8900001049,0.1700000018,0.3889999986,0.0560000017,0,0,0.2390680015,337.81097412,f
34,230,609,21,1,0,81,0.055555556,0.1110000014,4.9000000954,0.2899999917,0.0560000017,0.4440000057,0.1669999957,0,0.0210790001,906.965271,f
61,497,438,63,1,0,45,0.3888888955,0.7220000029,4.1399998665,0.3000000119,0.1110000014,0.2220000029,0.3330000043,0.1110000014,0.1372549981,646.86505127,f
907,336,436,22,1,1,69,0,0.3889999986,3.7999999523,0.5500000119,0,0.6110000014,0,0,0.0674590021,236.51022339,f
23,250,1600,19,1,0,25,0.6111111045,0.1669999957,6.4899997711,0.400000006,0.0560000017,0.7779999971,0,0,0.3599129915,420.27700806,f
212,1300,2800,148,1,0,74,0.1111111119,0.8889999986,1.8500000238,0.25,0.0560000017,0.7779999971,0,0,0.0092829997,575.56225586,f
52,217,634,0,1,0,1065,0,0.3889999986,4.8400001526,0.6399999857,0,0.3330000043,0.3330000043,0.0560000017,0.188094005,286.24581909,f
79,887,350,104,1,1,9,0.3333333433,0.9440000057,0.3300000131,0.0199999996,0.0560000017,0,0,0,0.1144950017,33.986606598,f
138,1000,2800,130,1,1,626,0.055555556,0,1.3400000334,0.2300000042,0,1.5559999943,0,0,0.4659990072,55.825847626,f
0,12,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,f
21,36,149,0,1,0,21,0.2222222239,0.1110000014,8.8000001907,0,0,0,0,0,0.026331,34.632606506,f
4,71,379,12,1,0,17,0,0,9.1499996185,0.349999994,0,0,0,0,0,78.330276489,f
0,21,130,0,1,0,0,0,0,0,0,0,0,0,0,1,0,f
47,413,1200,76,1,0,541,0,0.2220000029,3.1600000858,0.0500000007,0.0560000017,0.2220000029,0,0,0.087315999,8.4891824722,f
39,252,551,28,1,0,47,0.5,0.8330000043,6.6999998093,0.6200000048,0,0.7220000029,0,0.1110000014,0.2432249933,39.315368652,f
164,742,1100,62,1,0,249,0,0.1669999957,4.0700001717,0.6200000048,0.1110000014,0.1110000014,0,0,0.0421510004,490.29418945,f
22,350,3300,0,1,0,28,0.555555582,0.4440000057,4.4400000572,0.0500000007,0.1669999957,0,0,0,0.3138009906,102.57080078,f
72,970,3400,24,1,0,7,0.722222209,0.3330000043,7.6500000954,0.3600000143,0.1110000014,0,0,0,0.4324060082,477.4498291,f
7,1500,598,169,1,0,14,0,0,0.6200000048,0,0,0,0,0,1,188.22967529,f
15300,16300,1900,182,1,1,979,0,0,0.0099999998,0,0,1.6670000553,0,0,0.9931269884,0.3383800089,f
0,174,474,0,0,0,0,0,0,0,0,0,0,0,0,1,0,f
0,26,54,0,1,0,0,0,0,0,0,0,0,0,0,1,0,f
2000,3500,1800,176,1,0,64,0.277777791,0.5559999943,0.6200000048,0.0099999998,0.4440000057,0.1669999957,0,0,0.0779709965,9.5202932358,f
86,300,842,86,1,0,5,0.722222209,0,2.1300001144,0.0199999996,0,0,0,0,0.5098040104,120.41814423,f
691,1300,1700,22,1,0,29,0.2222222239,0.7779999971,1.0700000525,0.1400000006,0.1669999957,1.0559999943,0,0,0.0461109988,112.85169983,f
57,76,241,28,1,1,775,0,0.7220000029,6.5100002289,0.2899999917,0.6669999957,1.0559999943,0.0560000017,0,0.0966959968,25.848888397,f
82,134,1200,3,1,0,0,1,0,1.1200000048,0.0399999991,0,0,0,0,1,0.0084410002,f
29,490,488,47,1,0,48,0.2222222239,0.8889999986,5.3600001335,0.0599999987,0.1669999957,0.1669999957,0,0,0.0131649999,383.42816162,f
290,1400,7500,0,1,0,0,1,0,0.2599999905,0,0,0,0,0,1,9.311372757,f
1,40,255,60,1,0,489,0,1,7.5,0,0,20,0,0,0,0,f
0,240,635,0,0,0,0,0,0,0,0,0,0,0,0,1,0,f
2,83,159,39,1,0,53,0.5,0,12.050000191,1.8099999428,0,1.5,0,0,0,360.05987549,f
37,9800,6000,152,1,1,346,0,0.2779999971,2.6900000572,1.2400000095,0.3889999986,0.2220000029,0,0,0.0889839977,149.93994141,f
152,3300,561,72,1,0,264,0.0571428575,0.7139999866,2.8399999142,0.1599999964,0.4289999902,0.6290000081,0,0,0.0541619994,114.87876129,f
39,554,669,16,1,1,309,0.055555556,0.4440000057,3.0199999809,0.3400000036,0.0560000017,0.0560000017,0.0560000017,0,0.055546999,598.47558594,f
19,176,617,34,1,0,248,0.1111111119,0.2220000029,7.3899998665,0.1899999976,0.2220000029,1.4440000057,0.0560000017,0,0.023999,126.75140381,f
111,274,443,42,1,1,24,0,0.1110000014,0.8500000238,0.0199999996,0,0,0,0,0.641456008,36.172176361,f
9,54,162,164,1,1,29,0,0,5.3499999046,0.6200000048,0,0,0,0,0.478226006,0.0944750011,f
8,539,3800,107,1,1,101,0.25,0.625,5.9800000191,0.2800000012,0.625,1.875,0,0,0.0251749996,546.48931885,f
0,338,780,53,1,0,0,0,0,0,0,0,0,0,0,1,0,f
0,683,7000,0,1,0,0,0,0,0,0,0,0,0,0,1,0,f
9,35,2700,80,1,0,20,0.1111111119,0,6.9800000191,0,0,0.2220000029,0,0.2220000029,0.0098209996,5.0645990372,f
21,448,3700,0,1,0,2,0.8888888955,0,2.7000000477,0.2099999934,0.0560000017,0,0,0,0.7843139768,484.53302002,f
41,323,1000,54,1,0,975,0.055555556,0.0560000017,0.9499999881,0.150000006,0,0,0.3330000043,0.1110000014,0.2008139938,10.595693588,f
1,22,172,0,1,0,0,1,0,0,0,0,0,0,0,0,0,f
